pub_id,name,business_description,first_timestamp,parent_dataset,keywords,frequency,basis_document,comments
Базы данных/13,Средства кредитных организаций на корсчетах в Банке России,Ежедневная статистика о состоянии средств кредитных организаций на корреспондентских счетах в Банке России. Данные представлены в миллиардах рублей на начало дня с разбивкой по всей территории России и по Московскому региону. Показатели используются для мониторинга ликвидности банковской системы и анализа региональных диспропорций. Данные на первое число месяца могут быть уточнены по мере поступления балансовой информации.,Первое формирование публикации зафиксировано 04.11.1997.,ostat_base,корреспондентские счета; кредитные организации; ликвидность; Московский регион; баланс; банковская система; средства в Банке России; динамика; денежные средства; финансовая стабильность,ежедневная,не указан,Данные на первое число месяца могут быть уточнены по мере поступления балансовых данных.
Базы данных/17,RUONIA,"Ежедневная статистика по расчету процентной ставки RUONIA (средневзвешенная ставка по сделкам на межбанковском рынке). Публикация включает динамику ставки, суммарный объем и количество сделок, а также число участников, совершавших операции в день расчета. Предоставляются статистические параметры распределения ставок: минимум, максимум, 25-й и 75-й процентили. Данные отражают состояние рынка межбанковского кредитования в рублях за последние доступные даты.",Первое формирование публикации в текущем наборе данных зафиксировано 24.04.2026.,RUONIA,RUONIA; процентная ставка; межбанковский рынок; объем сделок; количество участников; процентили; российский рубль; депозиты; кредитование; финансовые продукты; статистика; индекс; overnight index average,ежедневная,Информационное письмо о применении процентной ставки RUONIA в качестве плавающей процентной ставки при разработке финансовых продуктов от 12.01.2022 № ИН-05-15/2,не указан
Базы данных/19,Котировки редких валют,"Справочные данные о курсах иностранных валют к доллару США, официальные курсы которых не устанавливаются Банком России. В наборе представлены исторические котировки албанского лека за период с 25.02.2022 по 04.03.2022, полученные от агентства Thomson Reuters. Информация включает даты фиксации, тип котировки и числовые значения курса в формате прямой котировки.",Первое формирование публикации зафиксировано в период с 25.02.2022 по 04.03.2022.,Котировки редких валют,албанский лек; доллар США; курс валюты; котировки редких валют; Thomson Reuters; прямая котировка; справочные данные; динамика курса; иностранная валюта,разовая,не указан,Публикация носит разовый информационный характер и содержит уведомление о временной приостановке предоставления справочных данных по данным валютам.
Базы данных/20,База данных по внешней торговле Российской Федерации услугами,"Статистика экспорта услуг Российской Федерации, сгруппированная по странам-партнерам и видам услуг. Данные включают детализацию по транспортным, строительным, финансовым услугам и поездкам за период 2019–2021 годов. Показатели выражены в тысячах долларов США и представлены как в сводном виде по миру, так и в разрезе отдельных стран.",Первое формирование публикации не определено на основе предоставленных данных.,База данных по внешней торговле Российской Федерации услугами,экспорт услуг; внешняя торговля; страны-партнеры; транспортные услуги; финансовые услуги; строительство; поездки; международные расчеты; классификация услуг; статистика,ежегодная,не указан,Данные представлены только за период 2019–2021 годов; направление торговли ограничено экспортом.
Базы данных/15,Репо,"Статистика операций репо Банка России, включающая параметры и результаты аукционов, а также данные по операциям постоянного действия. Публикация содержит ежедневную динамику требований к кредитным организациям, объемы предоставленной ликвидности и процентные ставки по различным механизмам (ОМ, ДМ, ТН, ОСН). Представлены исторические данные о минимальных ставках, актуальное расписание проведения операций и временные регламенты приема заявок. Материалы охватывают условия предоставления ликвидности на денежном рынке с детализацией по срокам сделок и типам инструментов.","Архив данных по параметрам аукционов и операциям репо ведется с 2009 года, исторические данные о минимальных ставках охватывают период с 17 февраля 2003 года.",hd_base/repodb,операции репо; аукционы репо; ликвидность; ставка репо; требования Банка России; кредитные организации; операции постоянного действия; денежно-кредитная политика; объем сделок; расписание операций; тонкая настройка; основной механизм; дополнительный механизм; минимальные ставки; денежный рынок,ежедневная,не указан,"Данные по операциям постоянного действия доступны с 09.01.2023. В таблице требований к кредитным организациям данные представлены на начало дня. В исторических данных о ставках для ряда периодов отсутствуют значения по срокам 3, 6 и 12 месяцев. С 16 октября 2023 года изменились условия исполнения второй части сделок по операциям постоянного действия ДМ."
Базы данных/16,Обязательные резервы кредитных организаций,"Ежемесячная статистика о динамике обязательных резервов кредитных организаций и фактических среднедневных остатков средств на корреспондирующих счетах в Банке России. Данные включают суммы обязательных резервов, подлежащих усреднению, а также резервов на специальных счетах для их учета, с разбивкой по периодам усреднения. Публикация содержит исторический ряд с 2004 года и текущие показатели, дополненные информацией о количестве кредитных организаций, пользующихся правом усреднения, и действующих организаций. В наборе присутствуют справочные данные о периодах усреднения, регулирования и отчетных периодах.",Первое формирование публикации относится к сентябрю 2004 года.,Обязательные резервы кредитных организаций,обязательные резервы; кредитные организации; корреспондирующие счета; среднедневные остатки; период усреднения; период регулирования; отчетный период; денежно-кредитная политика; ликвидность банков; резервируемые обязательства; монетарная политика; финансовый рынок; нормативы,ежемесячная,не указан,"Расчет формулы фактических среднедневных остатков менялся в 2016 и 2017 годах. Расчет размера резервируемых обязательств изменялся из-за обновления нормативных актов. До 16-го рабочего дня месяца, следующего за отчетным, могут указываться прогнозные значения. Для крупных кредитных организаций в 2006–2009 гг. периоды регулирования могли быть смещены."
Базы данных/22,Трансграничные переводы физических лиц (резидентов и нерезидентов),"Статистика трансграничных денежных переводов, осуществляемых физическими лицами-резидентами и нерезидентами. Данные представлены в разрезе стран и различных показателей движения денежных средств. Публикация включает навигационные фильтры для группировки информации по географическому признаку и типу операций. Охватывает валютные операции, связанные с перемещением средств через границу.",не определён,Трансграничные переводы физических лиц (резидентов и нерезидентов),трансграничные переводы; физические лица; резиденты; нерезиденты; движение денежных средств; статистика; страны; показатели; валютные операции,не определена,не указан,не указан
Базы данных/21,Валютные свопы,Ежедневная статистика объемов операций «валютный своп» Банка России по продаже китайского юаня за российские рубли. Данные представлены в разрезе дат заключения сделок и включают объемы в миллионах единиц иностранной валюты и в миллионах рублей. Информация охватывает только первые части сделок по продаже валюты.,Первое формирование публикации зафиксировано в период с 11 по 25 марта 2026 года.,Валютные свопы,валютный своп; продажа иностранной валюты; китайский юань; российский рубль; объемы операций; CNY; TODTOM; первая часть сделки; статистика; рынок валют,разовая,не указан,Данные относятся исключительно к первым частям сделок.
Базы данных/14,Процентные ставки Банка России,"Актуальные значения ключевой ставки, процентного коридора и ставок по операциям денежно-кредитной политики, включая аукционы репо, депозитные и кредитные операции. Данные охватывают рыночные индикаторы ликвидности (MIACR, RUONIA), ставки по специальным механизмам поддержки экспорта, инвестиционных проектов и МСП, а также условия безотзывных кредитных линий. Публикация содержит как текущие ежедневные значения, так и историческую динамику изменений ставок с указанием дат вступления в силу.",Первое формирование публикации зафиксировано в период с 20 по 28 апреля 2026 года.,Процентные ставки Банка России,ключевая ставка; процентный коридор; операции на открытом рынке; аукционы репо; депозиты постоянного действия; кредитные аукционы; MIACR; RUONIA; поддержка экспорта; инвестиционные проекты; МСП; безотзывные кредитные линии; ликвидность; денежно-кредитная политика; рыночные индикаторы,ежедневная,"Установлены Советом директоров Банка России; постановлением Правительства Российской Федерации от 14 декабря 2010 года № 1016 ""Об утверждении правил отбора инвестиционных проектов и принципалов для предоставления государственных гарантий Российской Федерации по кредитам либо облигационным займам, привлекаемым на осуществление инвестиционных проектов""","Некоторые ставки являются плавающими с 09.01.2023 (репо на 1 месяц) и 14.05.2020 (репо на 1 год); отдельные механизмы кредитования (лизинг, КБО, поддержка на период пандемии) приостановлены или прекращены."
Базы данных/2,Дефицит/профицит ликвидности банковского сектора,"Ежедневная статистика баланса ликвидности банковского сектора Российской Федерации, отражающая разницу между требованиями и обязательствами Банка России. Данные представлены в млрд рублей с детализацией по инструментам денежно-кредитной политики: операциям репо, валютным свопам, аукционам и обеспеченным кредитам. Публикация включает расчеты как с учетом сальдо корсчетов и обязательных резервов, так и без их учета. Содержит методологические пояснения по формулам расчета и истории изменений методики с ноября 2023 года.",Первое формирование публикации в текущем наборе данных датировано 21.04.2026.,hd_base,ликвидность банковского сектора; дефицит ликвидности; профицит ликвидности; требования Банка России; обязательства Банка России; корсчета; обязательные резервы; операции репо; валютный своп; денежно-кредитная политика; баланс ликвидности; УОР; аукционы; обеспеченные кредиты,ежедневная,не указан,Данные публикуются на начало каждого рабочего дня. Включает историю изменения методологии расчета с ноября 2023 года.
Базы данных/18,Обеспеченные кредиты,"Статистика и параметры инструментов денежно-кредитной политики Банка России, включающая объемы внутридневных кредитов, ставки по кредитам овернайт, ломбардным кредитам постоянного действия и кредитам, обеспеченным нерыночными активами. Публикация содержит исторические данные о минимальных ставках, ставках отсечения и средневзвешенных ставках по итогам кредитных аукционов, а также условия предоставления кредитов постоянного действия. Дополнительно представлены данные об объемах требований к кредитным организациям по специальным механизмам поддержки инвестиционных проектов и субъектов малого и среднего предпринимательства.",Первые данные в наборе относятся к периоду с 1998 года (ставки по кредитам овернайт) и 2007 года (внутридневные кредиты).,Базы данных,обеспеченные кредиты; ломбардные кредиты; кредитные аукционы; ставки овернайт; нерыночные активы; внутридневные кредиты; ставки отсечения; средневзвешенные ставки; кредиты постоянного действия; ликвидность; специальные механизмы; МСП; инвестиционные проекты; требования ЦБ; процентные ставки,"иная (смешанная: ежедневная для объемов кредитования, разовая для истории ставок и аукционов)","Минимальные ставки, которые могут быть указаны в заявках; установлены Советом директоров Банка России.","Набор данных включает как актуальные ежедневные показатели объемов кредитования, так и исторические справочные таблицы по ставкам и результатам аукционов за различные периоды (от 1998 до 2026 года). Часть данных по аукционам нерыночными активами ограничена периодом до 2016 года. Специальные механизмы включают программы с приостановленной или прекращенной выдачей кредитов."
Базы данных/23,Покупка и продажа иностранной валюты на внутреннем рынке,"Ежедневная статистика операций Банка России по покупке и продаже иностранной валюты на внутреннем рынке. Данные представлены в миллионах долларов США с указанием дат расчетов. В показателях не учитываются сделки, осуществляемые в порядке проведения операций Минфина России. Публикация включает информацию о ежедневных интервенциях на внутреннем валютном рынке.",Первое формирование публикации в предоставленных данных не указано.,hd_base/valintbr,покупка валюты; продажа валюты; внутренний рынок; интервенции; объем операций; дата расчетов; доллар США; валютный рынок; статистика; Банк России; Минфин России,ежедневная,не указан,Данные не включают сделки Минфина России; в предоставленном фрагменте числовые значения объемов операций отсутствуют.
Базы данных/24,Кривая бескупонной доходности государственных облигаций,"Ежедневная статистика значений бескупонной доходности государственных облигаций Российской Федерации, рассчитанная на основе данных ПАО «Московская биржа». Данные представлены в виде кривой доходности с разбивкой по срокам до погашения от 0,25 до 30 лет. Показатели выражены в процентах годовых и охватывают период с 2003 года по текущую дату. Информация используется для анализа состояния рынка государственных ценных бумаг и оценки процентных ставок.",Исторический ряд данных доступен с 2003 года.,zcyc_params,государственные облигации; кривая доходности; бескупонная доходность; Московская биржа; рынок ценных бумаг; процентные ставки; срок погашения; финансовая статистика; государственный долг; инвестиции,ежедневная,не указан,не указан
Базы данных/7,Денежная база (в узком определении),"Статистические данные о величине денежной базы в узком определении в Российской Федерации, включающие показатели наличных денег в обращении и обязательных резервов кредитных организаций. Информация представлена в млрд рублей с еженедельной и ежемесячной периодичностью. Набор охватывает динамику монетарных показателей за период с 2023 года по апрель 2026 года для анализа ликвидности и реализации монетарной политики.",Первые данные в наборе относятся к началу сентября 2023 года.,Денежная база (в узком определении),денежная база; наличные деньги; обязательные резервы; кредитные организации; монетарная статистика; ликвидность; денежная масса; динамика; финансовые показатели; резервные требования; обращение денег; узкое определение; еженедельные данные; ежемесячные данные; миллиарды рублей,еженедельная,не указан,"Публикация содержит два файла с разной периодичностью (еженедельный и ежемесячный) и разным временным охватом; еженедельные данные доступны с 2014 года, ежемесячные — с 2025 года."
Базы данных/6,Инфляция и ключевая ставка Банка России,"Статистическая информация о динамике годовой инфляции, ключевой ставки и целевого показателя инфляции в период с 2013 по 2026 год. Данные представлены в виде графика и таблиц с детализацией по месяцам, включая значения на последний день месяца. Публикация отражает параметры денежно-кредитной политики и содержит пояснения о лаге влияния ставки на экономику. Источник данных по инфляции — Росстат, по ставке — Банк России.",Первое формирование публикации зафиксировано в сентябре 2013 года.,Инфляция и ключевая ставка Банка России,инфляция; ключевая ставка; цель по инфляции; денежно-кредитная политика; Росстат; динамика цен; процентная ставка; дезинфляция; экономические условия; годовая инфляция; индекс потребительских цен,ежемесячная,«Основные направления единой государственной денежно-кредитной политики»,"Данные актуализированы на 28.04.2026; целевой показатель инфляции фиксирован на уровне 4,00% с 2017 года."
Базы данных/3,Показатели состояния ликвидности по периодам усреднения обязательных резервов,"Сводная статистика о состоянии ликвидности банковского сектора Российской Федерации, рассчитываемая по периодам усреднения обязательных резервов. Данные включают объемы средств на корреспондентских и специальных счетах, суммы обязательных резервов, подлежащих усреднению, а также расчет структурного дефицита или профицита ликвидности. Публикация содержит детализацию по объемам средств, привлеченных через аукционы по размещению облигаций обязательных резервов, и охватывает период с апреля 2025 года по апрель 2026 года.",Первое формирование публикации зафиксировано в апреле 2025 года.,hd_base,ликвидность банковского сектора; обязательные резервы; корреспондентские счета; структурный дефицит; профицит ликвидности; периоды усреднения; аукционы ОБР; банковский сектор; средства на корсчетах; специальные счета; абсорбированная ликвидность,ежемесячная,не указан,"Положительное значение показателя структурного дефицита/профицита означает дефицит ликвидности, отрицательное — профицит. Данные представлены в расширенной версии с детализацией по аукционам."
Базы данных/9,Курсы доллара США и евро к рублю и показатели биржевых торгов,"Сводные данные о средневзвешенных курсах доллара США и евро к российскому рублю, сформированные на Единой торговой сессии. Включают объемы биржевых торгов указанными валютами с расчетами «сегодня» и «завтра». Представлены в виде детализированной таблицы по дням и графиков динамики курсов и объемов торгов.",Период формирования данных охватывает даты с 24 по 31 октября 2022 года.,Курсы доллара США и евро к рублю и показатели биржевых торгов,курс доллара; курс евро; биржевые торги; Единая торговая сессия; объем торгов; средневзвешенный курс; расчеты сегодня; расчеты завтра; валютный рынок; Московская Биржа,разовая,не указан,Публикация содержит уведомление о прекращении размещения данных на сайте Банка России с 1 ноября 2022 года и переносе информации на сайт Московской Биржи.
Базы данных/4,Контрагенты и обеспечение,"Публикация объединяет реестры ценных бумаг, принимаемых Банком России в качестве обеспечения по кредитам и операциям РЕПО, включая ломбардный список с историей включений. Содержит ежедневную статистику структуры залоговых активов, переданных кредитными организациями, а также динамику количества участников операций постоянного действия в разрезе типов сделок. Данные охватывают параметры дисконтирования, поправочные коэффициенты, рыночные цены и долю различных категорий облигаций в общем объеме обеспечения.","Первые данные по статистике контрагентов сформированы в октябре 2018 года, ломбардный список ведется с 2007 года.",hd_base/cntr,контрагенты; обеспечение; ломбардный список; ценные бумаги; операции репо; кредиты Банка России; ОФЗ; корпоративные облигации; дисконт; поправочный коэффициент; кредитные организации; депозитные операции; структура активов; залоговые активы; участники рынка,ежедневная,Указание Банка России от 10.08.2012 № 2861-У,"В публикации представлены данные с разной периодичностью: реестры ценных бумаг и структура обеспечения обновляются ежедневно, статистика по количеству контрагентов — ежемесячно. Часть данных по региональному разрезу в текущем фрагменте представлена только заголовками таблиц без числовых значений. Некоторые виды депозитных операций приостановлены или отменены с 2018–2019 годов."
Профиль региона/1,Профиль региона. ГУ по ЦФО. Москва,"Аналитический обзор социально-экономического положения города Москвы, включающий данные за 2025 год и оперативные показатели на март-апрель 2026 года. Публикация содержит динамику инфляции, валового регионального продукта, инвестиций, промышленного производства и рынка труда. Представлены детализированные данные по кредитованию организаций и физических лиц, структуре кредитного портфеля по отраслям, а также индексы ценовых ожиданий и потребительской активности. Материалы включают сравнительный анализ с общероссийскими показателями и оценку влияния макроэкономических факторов на экономику столицы.",Первое формирование публикации не определено на основе предоставленных данных.,cfo,Москва; ВРП; инфляция; кредитование; инвестиции; безработица; розничная торговля; промышленное производство; рынок жилья; оперативные индикаторы; ЦФО; экономический профиль; кредитный портфель; реальная зарплата; деловая активность,ежемесячная,не указан,не указан
Базы данных/5,Депозиты в Банке России,"Статистика депозитных операций Банка России, включающая параметры и результаты аукционов тонкой настройки, а также условия и ставки по депозитам постоянного действия. Набор данных содержит ежедневные остатки депозитов кредитных организаций, динамику максимальных ставок по срокам и исторические сводки по объемам привлеченных средств. Информация охватывает ключевые инструменты денежно-кредитной политики: овернайт, том-некст и депозиты на различные сроки. Данные представлены в разрезе дат проведения операций, типов инструментов и процентных ставок.","Первые данные в публикации относятся к периоду с 2010 года, однако актуальное формирование статистики началось с 2013 года.",hd_base/depo,депозитные аукционы; тонкая настройка; депозиты постоянного действия; овернайт; процентные ставки; ликвидность; денежно-кредитная политика; остатки депозитов; кредитные организации; средневзвешенная ставка; объем привлеченных средств; параметры аукционов; максимальные ставки; рыночные операции,ежедневная,"Максимальные ставки, которые могут быть указаны в заявках; установлены Советом директоров Банка России.","В наборе данных присутствуют исторические периоды приостановки проведения аукционов по определенным срокам (например, с 01.01.2011 и 01.07.2012). Часть данных по ставкам постоянного действия актуальна только для срока овернайт, значения по другим срокам могут отсутствовать. Классификация остатков депозитов менялась в разные периоды (до 2013, 2013–2023, с 2023 года)."
Профиль региона/10,Профиль региона. ГУ по ЦФО. Отделение Курск,"Аналитический обзор социально-экономического развития Курской области, включающий данные о демографии, структуре валового регионального продукта и динамике инфляции. Публикация содержит показатели промышленного производства, сельского хозяйства, инвестиционной активности, а также статистику по рынку труда и кредитованию. Представлен сравнительный анализ ключевых индикаторов региона с общероссийскими значениями за период 2022–2026 годов. Включены оперативные данные по ценовым ожиданиям, ценам на жилье и индексу потребительской активности.",Публикация сформирована в апреле 2026 года на основе данных за март-апрель 2026 года.,Профиль региона. ГУ по ЦФО. Отделение Курск,Курская область; ВРП; инфляция; промышленное производство; сельское хозяйство; инвестиции; рынок труда; кредитование; безработица; розничная торговля; ценовые ожидания; рынок жилья; экономический профиль; реальные зарплаты; безналичные платежи,разовая,не указан,не указан
Базы данных/8,Драгоценные металлы,"Ежедневная статистика учетных цен на аффинированные золото, серебро, платину и палладий, устанавливаемых Банком России. Показатели рассчитываются на основе котировок лондонского рынка «спот» с учетом официального курса доллара США к российскому рублю. Данные применяются кредитными организациями для целей бухгалтерского учета и регулирования сделок на внутреннем рынке. Публикация включает действующий порядок расчета, нормативные акты-основания и архив отмененных документов.","Первое формирование публикации в текущем виде датировано 22 октября 2024 года, однако нормативное регулирование данной сферы действует с 28 мая 2003 года.",Драгоценные металлы,учетные цены; золото; серебро; платина; палладий; аффинированные металлы; лондонский рынок спот; официальный курс доллара; методика расчета; бухгалтерский учет; кредитные организации; нормативные акты; Вестник Банка России; рыночная конъюнктура; дисконт,ежедневная,"Федеральный закон “О Центральном банке Российской Федерации (Банке России)” (Собрание законодательства Российской Федерации, 2002, № 28, ст. 2790; 2003, № 2, ст. 157); статья 331 Налогового кодекса Российской Федерации (Собрание законодательства Российской Федерации, 2000, № 32, ст. 3340; 2002, № 22, ст. 2026); Указание Банка России от 10.07.2024 № 6799-У «О перечне и видах драгоценных металлов, в отношении которых устанавливаются учетные цены, и порядке установления учетных цен на драгоценные металлы»","С 22 октября 2024 года действует обновленный порядок установления цен, включающий изменение времени фиксации котировок на лондонском рынке (15:30 по московскому времени) и времени публикации. Ранее действовавшие Указания № 1283-У, № 1993-У и № 2765-У включены в архив публикации как отмененные нормативные акты."
Профиль региона/11,Профиль региона. ГУ по ЦФО. Отделение Липецк,"Ежемесячный аналитический обзор экономики Липецкой области, включающий оценку инфляции, структуры валового регионального продукта и деловой активности. Публикация содержит данные о занятости, доходах населения, динамике промышленного производства, сельского хозяйства и инвестиций. Представлены показатели кредитования нефинансовых организаций и физических лиц с отраслевой детализацией. Включены оперативные индикаторы: ценовые ожидания, цены на жилье, индекс потребительской активности и доля безналичных платежей.",Первый выпуск публикации сформирован в апреле 2026 года.,http://cbr.ru/lipetsk/ekonom_profil/,Липецкая область; инфляция; ВРП; промышленное производство; кредитование; безработица; инвестиции; сельское хозяйство; розничная торговля; ценовые ожидания; рынок жилья; деловая активность; экономический мониторинг; региональная экономика; оперативные индикаторы,ежемесячная,не указан,"Данные охватывают период с 2022 по 2026 год с акцентом на оперативные значения за март-апрель 2026 года; некоторые показатели (цены на жилье, доля безналичных платежей) имеют лаг в один месяц."
